id;certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
86;Brussels Beer Challenge;Bélgica;2018-10;2018;Bierbrouwerij de Koningshoeven B.V.;La Trappe Blond;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Países Bajos
87;Brussels Beer Challenge;Bélgica;2019-10;2019;Bierbrouwerij de Koningshoeven B.V.;La Trappe Blond;Abbey Blond;Bronze Medal;;Beer;BeerStyle;;Países Bajos
88;Brussels Beer Challenge;Bélgica;2021-10;2021;Bierbrouwerij de Koningshoeven B.V.;La Trappe Blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
89;Brussels Beer Challenge;Bélgica;2022-10;2022;Bierbrouwerij de Koningshoeven B.V.;La Trappe Blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
90;Brussels Beer Challenge;Bélgica;2023-10;2023;Bierbrouwerij de Koningshoeven B.V.;La Trappe Blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
91;Brussels Beer Challenge;Bélgica;2020-10;2020;Scheldebrouwerij;Lamme Goedzak;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
92;Brussels Beer Challenge;Bélgica;2024-10;2024;Scheldebrouwerij;Lamme Goedzak;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
93;Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Malheur;Malheur 8;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
94;Brussels Beer Challenge;Bélgica;2021-10;2021;Brouwerij L. Huyghe NV;Sint Idesbald Blond;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
95;Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij L. Huyghe NV;Sint Idesbald Blond;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
96;Brussels Beer Challenge;Bélgica;2024-10;2024;Brouwerij L. Huyghe NV;Sint Idesbald Blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
97;Brussels Beer Challenge;Bélgica;2022-10;2022;Swinkels Family Brewers;Steenbrugge Blond;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
98;Brussels Beer Challenge;Bélgica;2018-10;2018;Brasserie St-Feuillien;St-Feuillien Blonde;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
99;Brussels Beer Challenge;Bélgica;2019-10;2019;Brasserie St-Feuillien;St-Feuillien Blonde;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
100;Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Ter Dolen;Ter Dolen Blond;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
101;Brussels Beer Challenge;Bélgica;2022-10;2022;Brouwerij Ter Dolen;Ter Dolen Blond;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
102;Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij Ter Dolen;Ter Dolen Blond;Abbey Blond;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
103;Brussels Beer Challenge;Bélgica;2024-10;2024;Brouwerij Ter Dolen;Ter Dolen Blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
104;Brussels Beer Challenge;Bélgica;2024-10;2024;Brouwerij Broeder Jacob;Vlierbeek Grand Cru abdijbier;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
105;Brussels Beer Challenge;Bélgica;2019-10;2019;Brouwerij Ter Dolen;Ter Dolen Blond;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
106;Brussels Beer Challenge;Bélgica;2025-10;2025;Jopen Bier;Jopen Blond;Abbey Blond;Oro Medal;Oro;Beer;BeerStyle;;Países Bajos
107;Brussels Beer Challenge;Bélgica;2025-10;2025;Brouwerij L. Huyghe NV;Sint Idesbald Blond;Abbey Blond;Bronce Medal;Bronce;Beer;BeerStyle;;Bélgica
108;Brussels Beer Challenge;Bélgica;2025-10;2025;Brouwerij Ter Dolen;Ter Dolen Blond;Abbey Blond;Plata Medal;Plata;Beer;BeerStyle;;Bélgica
109;Brussels Beer Challenge;Bélgica;2019-10;2019;Alken-Maes;Affligem Dubbel;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
110;Brussels Beer Challenge;Bélgica;2022-10;2022;Alken-Maes;Affligem Dubbel;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
111;Brussels Beer Challenge;Bélgica;2018-10;2018;Brasserie de Bertinchamps;Bertinchamps Brune;Abbey Dubbel;Bronze Medal;;Beer;BeerStyle;;Bélgica
112;Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij Duits & Lauret;Bière de Garde Brune;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
113;Brussels Beer Challenge;Bélgica;2024-10;2024;Brouwerij De Halve Maan;Brugse Zot Dubbel;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
114;Brussels Beer Challenge;Bélgica;2020-10;2020;Taxman Brewing Company;Deduction;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
115;Brussels Beer Challenge;Bélgica;2019-10;2019;Brouwerij L. Huyghe NV;Delirium Nocturnum;Abbey Dubbel;Bronze Medal;;Beer;BeerStyle;;Bélgica
116;Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Duits & Lauret;Duits & Lauret Biere de Garde Brune;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
117;Brussels Beer Challenge;Bélgica;2024-10;2024;Brouwerij Boon;Duivelsbier Donker;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
118;Brussels Beer Challenge;Bélgica;2018-10;2018;Cervejaria Espirito Santo;Es Belgian Dubbel;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Brasil
119;Brussels Beer Challenge;Bélgica;2023-10;2023;Lindeboom Bierbrouwerij;Gouverneur Dubbel;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
120;Brussels Beer Challenge;Bélgica;2021-10;2021;Carlsberg Breweries A/S;Grimbergen Double Ambrée;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Polonia
121;Brussels Beer Challenge;Bélgica;2024-10;2024;Abdij der Norbertijnen Grimbergen vzw;Grimbergen Dubbel;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
122;Brussels Beer Challenge;Bélgica;2019-10;2019;Bierbrouwerij de Koningshoeven B.V.;La Trappe Dubbel;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Países Bajos
123;Brussels Beer Challenge;Bélgica;2022-10;2022;Bierbrouwerij de Koningshoeven B.V.;La Trappe Dubbel;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Países Bajos
124;Brussels Beer Challenge;Bélgica;2021-10;2021;De Nachtraafbrouwers;Nachtraaf Dubbel Bruin;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
125;Brussels Beer Challenge;Bélgica;2018-10;2018;Brouwerij Palm - Swinkels Family Brewers Belgium;Steenbrugge Dubbel Bruin;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
126;Brussels Beer Challenge;Bélgica;2019-10;2019;Brouwerij Palm - Swinkels Family Brewers Belgium;Steenbrugge Dubbel Bruin;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
127;Brussels Beer Challenge;Bélgica;2021-10;2021;Palm N.v.;Steenbrugge Dubbel Bruin;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
128;Brussels Beer Challenge;Bélgica;2022-10;2022;Swinkels Family Brewers;Steenbrugge Dubbel Bruin;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
129;Brussels Beer Challenge;Bélgica;2023-10;2023;Swinkels Family Brewers;Steenbrugge Dubbel Bruin;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
130;Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Ter Dolen;Ter Dolen Donker;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
131;Brussels Beer Challenge;Bélgica;2021-10;2021;Brouwerij Ter Dolen;Ter Dolen Donker;Abbey Dubbel;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
132;Brussels Beer Challenge;Bélgica;2022-10;2022;Brouwerij Haacht;Tongerlo Bruin;Abbey Dubbel;Silver Medal;Plata;Beer;BeerStyle;;Bélgica
133;Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Viven;Viven Classic Bruin;Abbey Dubbel;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
