certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;Third Eye Brewing Co.;Higher Consciousness;Scotch Ale;Oro;Oro;Beer;Style;Cincinnati;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;Third Eye Brewing Co.;Higher Purpose;Sweet Stout;Bronce;Bronce;Beer;Style;Sharonville;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Third Street Aleworks;Great Odin’s Beard Oat Ale;Historical Beer;Plata;Plata;Beer;Style;Santa Rosa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;Third Street Aleworks;Blarney Sisters Dry Irish Stout;Old Ale or Strong Ale;Oro;Oro;Beer;Style;Santa Rosa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;Third Street Aleworks;Blarney Sisters’ Dry Irish Stout;Old Ale or Strong Ale;Oro;Oro;Beer;Style;Santa Rosa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;Third Street Aleworks;Blarney Sisters Dry Irish Stout;Old Ale or Strong Ale;Bronce;Bronce;Beer;Style;Santa Rosa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Third Street Aleworks;Annadel Pale Ale;Ordinary or Special Bitter;Bronce;Bronce;Beer;Style;Santa Rosa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;Third Street Aleworks;Annadel Pale Ale;Smoke Beer;Oro;Oro;Beer;Style;Santa Rosa;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Third Window Brewing Co.;The Dark;International Dark Lager;Oro;Oro;Beer;Style;Santa Barbara;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;Thirsty Dog Brewing Co.;Siberian Night Imperial Stout Aged in Bourbon Barrels;Indigenous Beer;Bronce;Bronce;Beer;Style;Akron;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Thompson Island Brewing Co.;Never Been Wrong;Brett Beer;Oro;Oro;Beer;Style;Rehoboth  Beach;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Thorn Street Brewery;December Nights Imperial Red;Imperial Red Ale;Plata;Plata;Beer;Style;San Diego;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Thornbridge;Love Among the Ruins;Brett Beer;Oro;Oro;Beer;Style;Bakewell;Reino Unido
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Thornbridge;Days of Creation;Brett Beer;Plata;Plata;Beer;Style;Bakewell;Reino Unido
World Beer Cup (WBC) - EEUU;Internacional;2012-04;2012;Thornbridge;Raven;Imperial Red Ale;Bronce;Bronce;Beer;Style;Bakewell;Reino Unido
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;Thornbridge Brewery;Wild Swan;Smoke Beer;Plata;Plata;Beer;Style;Bakewell;Reino Unido
Brussels Beer Challenge;Bélgica;2025-10;2025;Thorns Wit VOF;Jimmy Sauvin;Grape Ale;Plata Medal;Plata;Beer;BeerStyle;;Países Bajos
World Beer Cup (WBC) - EEUU;Internacional;2014-04;2014;Thr3e Wise Men Brewing Co.;Hot for Teacher Ms. Doppelbock;Smoke Beer;Plata;Plata;Beer;Style;Indianapolis;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Three Creeks Brewing Co.;McKay’s Scottish Ale;Scotch Ale;Plata;Plata;Beer;Style;Sisters;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;Three Creeks Brewing Co. - Production;Knotty Blonde;Golden or Blonde Ale;Bronce;Bronce;Beer;Style;Sisters;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2018-04;2018;Three Creeks Production;FivePine Chocolate Porter;Brown Porter;Plata;Plata;Beer;Style;Sisters;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Three Floyds Brewing;Gumballhead;English Ale;Bronce;Bronce;Beer;Style;Munster;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Three Floyds Brewing Co.;Blot Out the Sun;Imperial Red Ale;Oro;Oro;Beer;Style;Munster;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Three Leg Run Brewery;Working An Angle;English Ale;Plata;Plata;Beer;Style;Chester;EEUU
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Three Monkeys Beer;I'm Sour;American Fruit Sour;Bronce;Bronce;Beer;Style; - ;Brasil
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Three Monkeys Beer;Classic IPA;American Ipa;Bronce;Bronce;Beer;Style;Brasil;Brasil
CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Three Monkeys Beer;I´m Fucking Sour;Catharina Sour;Bronce;Bronce;Beer;Style; - ;Brasil
CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Three Monkeys Beer;I´m Sour;Catharina Sour;Plata;Plata;Beer;Style; - ;Brasil
BBA, Brazilian International Beer Awards;Internacional;2025-11;2025;Three Monkeys Beer;Peter the Bitter;Extra Special Bitter;Oro;Oro;Beer;Style; - ;Brasil
Concursos Brasil Cup - Brasil;Internacional;2025-08;2025;Three Monkeys Beer;Three Monkeys - Peter the Bitter;Extra Special Bitter;Plata;Plata;Beer;Style; - ;Brasil
Brussels Beer Challenge;Bélgica;2023-10;2023;Three Weavers Brewing Co;Seafarer;Kölsch;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Three Weavers Brewing Co.;Blood Junkie;Imperial Red Ale;Oro;Oro;Beer;Style;Inglewood;EEUU
Brussels Beer Challenge;Bélgica;2020-10;2020;Three Weavers Brewing, Co.;Day Job Pale Ale;American Pale Ale;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;Three Weavers Brewing, Co.;Knotty Double IPA;Double Ipa;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Thunder Brew;Porter;English Porter;Plata;Plata;Beer;Style;Mar del Plata;Argentina
Brussels Beer Challenge;Bélgica;2022-10;2022;Tian Yufan;100 Hops Hidden Deep IPA;Double Ipa;Gold Medal;Oro;Beer;BeerStyle;;China
Brussels Beer Challenge;Bélgica;2022-10;2022;Tian Yufan;Peiping Lager;Hoppy Lager;Silver Medal;Plata;Beer;BeerStyle;;China
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;Tighthead Brewing Co.;Bear’s Choice;Strong Red Ale;Bronce;Bronce;Beer;Style;Mundelein;EEUU
Brussels Beer Challenge;Bélgica;2023-10;2023;Tilmans Biere;Der Weizen;White IPA/Hoppy Weizen;Bronze Medal;Bronce;Beer;BeerStyle;;Alemania
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;Tilted Axis Brewing Co.;Lunar Fallout;American Wheat Beer;Plata;Plata;Beer;Style;Lapeer;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Tilted Axis Brewing Co.;Lunar Fallout;American Wheat Beer;Plata;Plata;Beer;Style;Lapeer;EEUU
Brussels Beer Challenge;Bélgica;2020-10;2020;Timmermans NV;Timmermans Lambicus Faro;Speciality beer (Less than 7 ABV);Silver Medal;Plata;Beer;BeerStyle;;Bélgica
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Tonality Brewing Co.;Dubbel Crit;Specialty Saison;Plata;Plata;Beer;Style;Mundelein;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2016-04;2016;Toolbox Brewing Co.;Bramble On Rose;Brett Beer;Bronce;Bronce;Beer;Style;Vista;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Tooth and Nail Brewing Co.;Valor;Saison;Oro;Oro;Beer;Style;Ottawa;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;Tooth and Nail Brewing Co.;Valor;Saison;Bronce;Bronce;Beer;Style;Ottawa;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;Topa Topa Brewing Co. - HQ;KQ Express;International Lager;Plata;Plata;Beer;Style;Ventura;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Topa Topa Brewing Co. - HQ;Chief Peak;International Pale Ale;Bronce;Bronce;Beer;Style;Ventura;EEUU
Brussels Beer Challenge;Bélgica;2024-10;2024;Torch Brewery;Oktoberfest;German  Marzen;Bronze Medal;Bronce;Beer;BeerStyle;;Turquia
Brussels Beer Challenge;Bélgica;2021-10;2021;Torch Brewery;Torch Brewery Honey Pepper Ale;Honey Beer;Silver Medal;Plata;Beer;BeerStyle;;Turquia
Brussels Beer Challenge;Bélgica;2021-10;2021;Torch Brewery;Torch Brewery Red Ale;Irish Red Ale;Bronze Medal;Bronce;Beer;BeerStyle;;Turquia
Brussels Beer Challenge;Bélgica;2024-10;2024;Torch Brewery;Kölsch Style Ale;Kölsch;Silver Medal;Plata;Beer;BeerStyle;;Turquia
Brussels Beer Challenge;Bélgica;2021-10;2021;Torch Brewery;Torch Brewery Kölsch Style Ale;Kölsch;Silver Medal;Plata;Beer;BeerStyle;;Turquia
Brussels Beer Challenge;Bélgica;2019-10;2019;Tornion Panimo Oy;North Arctic Lager;Hoppy Lager;Bronze Medal;Bronce;Beer;BeerStyle;;Finlandia
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;Torque Brewing;Red Line;Double Hazy Ipa;Bronce;Bronce;Beer;Style;Winnipeg;Canadá
Cervecera del Pacífico - Mexico;Internacional;2025-03;2025;Torrealta Cervecería;La Bendimia;Grape Ales;Bronce;Bronce;Beer;Style;El Retiro;Colombia
Copa Cerveza Austro - Ecuador;Internacional;2025-05;2025;Torres Br. Co.;Midnight Brew;American Porter;Plata;Plata;Beer;Style; - ;Ecuador
Copa Conquistadores - Chile;Nacional;2025-08;2025;Toten;cerro chepe;Export Stout;Bronce;Bronce;Beer;Style;Chiguayante;Chile
Copa Conquistadores - Chile;Nacional;2025-08;2025;Toten;Sophia British strong;Strong Ale;Bronce;Bronce;Beer;Style;Chiguayante;Chile
World Beer Cup (WBC) - EEUU;Internacional;2023-04;2023;Town Square Brewing Co.;Beets;Field Beer;Plata;Plata;Beer;Style;Edmonton;Canadá
World Beer Cup (WBC) - EEUU;Internacional;2025-04;2025;Track 7 Brewing Co.;Imperial Red;Strong Red Ale;Bronce;Bronce;Beer;Style;Sacramento;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Trademark Brewing;Morning Drive;Coffee Beer;Bronce;Bronce;Beer;Style;Long Beach;EEUU
Brussels Beer Challenge;Bélgica;2025-10;2025;Trademark Brewing;A La Playa;Fruit Beer;Plata Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2025-10;2025;Tradi?ní pivovar v Rakovníku, a.s.;Cernovar Svetly;Bohemian Pilsner;Bronce Medal;Bronce;Beer;BeerStyle;;Czechia
Brussels Beer Challenge;Bélgica;2023-10;2023;Tradicní Pivovar v Rakovníku, a.s.;Bakalar Premium Lager;Bohemian Pilsner;Bronze Medal;Bronce;Beer;BeerStyle;;Czechia
Brussels Beer Challenge;Bélgica;2019-10;2019;Tradicní Pivovar v Rakovníku, a.s.;Cernovar Cerné;Dark/Dunkel (including Schwarzbier);Bronze Medal;Bronce;Beer;BeerStyle;;Czechia
Brussels Beer Challenge;Bélgica;2020-10;2020;Tradicní Pivovar v Rakovníku, a.s.;Bakalár nealko za studena Chmelený;Low-alcohol;Silver Medal;Plata;Beer;BeerStyle;;Czechia
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Transmission Brewing;DownShift;International Dark Lager;Bronce;Bronce;Beer;Style;Ventura;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2024-04;2024;Transmission Brewing;Clutch;International Dark Lager;Oro;Oro;Beer;Style;Ventura;EEUU
World Beer Cup (WBC) - EEUU;Internacional;2022-04;2022;Transmission Brewing;Transmission Light;International Light Lager;Bronce;Bronce;Beer;Style;Ventura;EEUU
Cervecera del Pacífico - Mexico;Internacional;2025-03;2025;Transpeninsular;Homewrecker;American Brown Ale;Plata;Plata;Beer;Style;ENSENADA;México
Cervecera del Pacífico - Mexico;Internacional;2025-03;2025;Transpeninsular;Slayz the Haze;Hazy Ipa;Bronce;Bronce;Beer;Style;ENSENADA;México
CCA Copa Cervezas America - Chile;Nacional;2015-09;2015;Trapananda;Robust Porter;Robust Porter;Bronce;Bronce;Beer;Style; - ;Chile
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Treintaycinco;Brutt´A - Espumante Tropical (Collab con Santa Rasta Brewing);Ipa Brut;Bronce;Bronce;Beer;Style;Costa Rica;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Treintaycinco;Chicharrón con pelo;Specialty Beer;Plata;Plata;Beer;Style;Costa Rica;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2019-10;2019;Treintaycinco;Mamacandela;Specialty Beer;Plata;Plata;Beer;Style;Costa Rica;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Treintaycinco - Fabrica De S;Ensayo 26;American Sour Ale;Plata;Plata;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2016-09;2016;Treintaycinco - Fabrica De S;Mamacandela;Dark Mild;Bronce;Bronce;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Treintaycinco - Fabrica De S;Mamacandela;Dark Mild;Bronce;Bronce;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Treintaycinco - Fabrica De S;Smoking Lit - Caleta, Reserva Privada;Lichtenhainer;Oro;Oro;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2014-09;2014;Treintaycinco - Fabrica De S;La Pelona;American Ipa;Bronce;Bronce;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2015-09;2015;Treintaycinco - Fabrica De S;La Pelona;American Ipa;Bronce;Bronce;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2015-09;2015;Treintaycinco - Fabrica De S;Treintay©;American Ipa;Bronce;Bronce;Beer;Style; - ;Costa Rica
CCA Copa Cervezas America - Chile;Nacional;2025-10;2025;Tres B;Compañía de Cerveza Independiente;Blonde Ale;Plata;Plata;Beer;Style;Curicó;Chile
Cervecera del Pacífico - Mexico;Internacional;2025-03;2025;Tres Islas;Sabalo Centro;American Pale Ale;Plata;Plata;Beer;Style;Mazatlan;México
